#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","CT18",19669,SAMEA1705914 ,PRJNA236,"Proteobacteria","Gammaproteobacteria",GCA_000195995.1 ,5.13371,51.8776,chromosome:NC_003198.1/AL513382.1; plasmid pHCM1:NC_003384.1/AL513383.1; plasmid pHCM2:NC_003385.1/AL513384.1,-,3,4829,4473,2001/11/07,2016/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/995/GCF_000195995.1_ASM19599v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/995/GCA_000195995.1_ASM19599v1
"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","LT2; SGSC 1412; ATCC 700720",19669,SAMN02604315 ,PRJNA241,"Proteobacteria","Gammaproteobacteria",GCA_000006945.2 ,4.95138,52.2171,chromosome:NC_003197.2/AE006468.2; plasmid pSLT:NC_003277.2/AE006471.2,-,2,4718,4555,2001/10/26,2017/01/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/945/GCF_000006945.2_ASM694v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/945/GCA_000006945.2_ASM694v2
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","Ty2",19669,SAMN02604095 ,PRJNA371,"Proteobacteria","Gammaproteobacteria",GCA_000007545.1 ,4.79196,52.1,chromosome:NC_004631.1/AE014613.1,-,1,4981,4576,2003/03/21,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/545/GCF_000007545.1_ASM754v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/545/GCA_000007545.1_ASM754v1
"Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67","SC-B67",19669,SAMN02603109 ,PRJNA9618,"Proteobacteria","Gammaproteobacteria",GCA_000008105.1 ,4.944,52.1737,chromosome:NC_006905.1/AE017220.1; plasmid pSC138:NC_006856.1/AY509004.1; plasmid pSCV50:NC_006855.1/AY509003.1,-,3,5163,4685,2005/04/01,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/105/GCF_000008105.1_ASM810v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/105/GCA_000008105.1_ASM810v1
"Salmonella enterica subsp. enterica serovar Enteritidis str. P125109","P125109",19669,SAMEA1705941 ,PRJEA30687,"Proteobacteria","Gammaproteobacteria",GCA_000009505.1 ,4.68585,52.2,chromosome:NC_011294.1/AM933172.1,-,1,4766,4511,2008/09/18,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/505/GCF_000009505.1_ASM950v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/505/GCA_000009505.1_ASM950v1
"Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91","287/91",19669,SAMEA1705927 ,PRJEA30689,"Proteobacteria","Gammaproteobacteria",GCA_000009525.1 ,4.6587,52.2,chromosome:NC_011274.1/AM933173.1,-,1,4725,4274,2008/09/18,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/525/GCF_000009525.1_ASM952v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/525/GCA_000009525.1_ASM952v1
"Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150","ATCC 9150",19669,SAMN02604316 ,PRJNA13086,"Proteobacteria","Gammaproteobacteria",GCA_000011885.1 ,4.58523,52.2,chromosome:NC_006511.1/CP000026.1,-,1,4707,4327,2004/11/30,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/885/GCF_000011885.1_ASM1188v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/885/GCA_000011885.1_ASM1188v1
"Salmonella enterica subsp. enterica serovar Newport str. SL254","SL254",19669,SAMN02604062 ,PRJNA18747,"Proteobacteria","Gammaproteobacteria",GCA_000016045.1 ,5.00772,52.2145,chromosome:NC_011080.1/CP001113.1; plasmid pSL254_3:NC_011079.1/CP001112.1; plasmid pSN254:NC_009140.1/CP000604.1,-,3,5155,4891,2008/07/24,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/045/GCF_000016045.1_ASM1604v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/045/GCA_000016045.1_ASM1604v1
"Salmonella enterica subsp. enterica serovar Paratyphi C str. RKS4594","RKS4594",19669,SAMN02603245 ,PRJNA20993,"Proteobacteria","Gammaproteobacteria",GCA_000018385.1 ,4.88849,52.2068,chromosome:NC_012125.1/CP000857.1; plasmid pSPCV:NC_012124.1/CP000858.1,-,2,5026,4617,2009/03/03,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/385/GCF_000018385.1_ASM1838v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/385/GCA_000018385.1_ASM1838v1
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:-","RSK2980",19669,SAMN02604141 ,PRJNA13030,"Proteobacteria","Gammaproteobacteria",GCA_000018625.1 ,4.6008,51.4,chromosome:NC_010067.1/CP000880.1,-,1,4641,4154,2007/11/21,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/625/GCF_000018625.1_ASM1862v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/625/GCA_000018625.1_ASM1862v1
